ID_Transaction,Client_ID,Categorie,Prix_Unitaire,Quantite,Ville
TX-00000082,USR-82912,Électronique,332.42,5,Lille
TX-00000083,USR-67279,Alimentation,98.82,1,Lille
TX-00000084,USR-62378,Mode,1056.07,1,Toulouse
TX-00000085,USR-44157,Alimentation,77.31,5,Lille
TX-00000086,USR-85315,Maison,700.22,2,Paris
TX-00000087,USR-82342,Sports,242.72,1,Paris
TX-00000088,USR-54797,Mode,704.75,1,Lyon
TX-00000089,USR-66084,Alimentation,988.06,2,Marseille
TX-00000090,USR-63037,Électronique,111.66,1,Toulouse
TX-00000091,USR-21253,Maison,991.79,1,Paris
TX-00000092,USR-85946,Mode,91.1,3,Lyon
TX-00000093,USR-55923,Alimentation,693.89,5,Lyon
TX-00000094,USR-63098,Sports,127.36,2,Lyon
TX-00000095,USR-71751,Maison,125.21,1,Lille
TX-00000096,USR-73774,Électronique,63.72,5,Nantes
TX-00000097,USR-94656,Alimentation,687.96,1,Lille
TX-00000098,USR-19082,Mode,1120.05,2,Toulouse
TX-00000099,USR-62870,Électronique,775.43,2,Lille
TX-00000100,USR-49534,Sports,698.13,3,Marseille
TX-00000101,USR-90289,Maison,1106.41,1,Paris
TX-00000102,USR-43295,Maison,1009.42,4,Marseille
TX-00000103,USR-65026,Alimentation,1143.02,2,Nantes
TX-00000104,USR-93685,Alimentation,934.86,4,Nantes
TX-00000105,USR-53086,Sports,559.0,5,Lille
TX-00000106,USR-71586,Maison,1129.42,5,Nantes
TX-00000107,USR-45699,Maison,348.45,1,Nantes
TX-00000108,USR-20606,Sports,18.04,4,Nantes
TX-00000109,USR-47999,Mode,729.74,4,Toulouse
TX-00000110,USR-86218,Alimentation,422.92,3,Lyon
TX-00000111,USR-91123,Maison,365.13,3,Lyon
TX-00000112,USR-29140,Sports,1069.76,2,Paris
TX-00000113,USR-99673,Sports,628.44,3,Nantes
TX-00000114,USR-78215,Mode,208.37,3,Lille
TX-00000115,USR-30195,Maison,595.75,3,Paris
TX-00000116,USR-85508,Mode,992.96,2,Marseille
TX-00000117,USR-23610,Électronique,276.68,2,Nantes
TX-00000118,USR-62371,Maison,867.01,5,Lyon
TX-00000119,USR-19975,Maison,76.52,3,Nantes
TX-00000120,USR-86341,Alimentation,224.84,4,Lyon
TX-00000121,USR-50648,Mode,188.36,3,Marseille
TX-00000122,USR-91739,Sports,1145.51,4,Lyon
TX-00000123,USR-88142,Électronique,947.75,4,Lille
TX-00000124,USR-54799,Maison,379.21,4,Nantes
TX-00000125,USR-14770,Alimentation,390.91,1,Paris
TX-00000126,USR-96286,Électronique,559.39,1,Marseille
TX-00000127,USR-41698,Mode,392.14,2,Marseille
TX-00000128,USR-29462,Mode,1033.98,5,Paris
TX-00000129,USR-13464,Maison,1082.62,4,Marseille
TX-00000130,USR-18087,Sports,487.32,5,Lyon
TX-00000131,USR-79603,Alimentation,243.59,1,Paris
TX-00000132,USR-31674,Mode,259.59,2,Marseille
TX-00000133,USR-38838,Alimentation,891.28,1,Lille
TX-00000134,USR-30510,Alimentation,149.2,4,Lille
TX-00000135,USR-23778,Maison,888.4,5,Lille
TX-00000136,USR-81640,Sports,334.05,2,Lille
TX-00000137,USR-22885,Sports,1067.0,3,Paris
TX-00000138,USR-97757,Maison,175.98,3,Marseille
TX-00000139,USR-97403,Mode,1193.78,2,Paris
TX-00000140,USR-94215,Alimentation,1170.54,1,Lyon
TX-00000141,USR-64633,Mode,244.56,4,Bordeaux
TX-00000142,USR-63814,Sports,167.06,5,Lyon
TX-00000143,USR-25024,Mode,334.89,5,Toulouse
TX-00000144,USR-57807,Maison,973.65,3,Marseille
TX-00000145,USR-91827,Mode,503.86,4,Lille
TX-00000146,USR-61426,Mode,1075.63,5,Lyon
TX-00000147,USR-45645,Mode,458.2,3,Lyon
TX-00000148,USR-95452,Électronique,778.55,3,Nantes
TX-00000149,USR-67709,Électronique,580.65,5,Marseille
TX-00000150,USR-68221,Sports,803.64,3,Paris
TX-00000151,USR-92011,Maison,1091.41,1,Marseille
TX-00000152,USR-89890,Sports,861.84,4,Toulouse
TX-00000153,USR-32397,Mode,1087.89,1,Paris
TX-00000154,USR-10921,Électronique,128.9,1,Paris
TX-00000155,USR-34422,Électronique,882.35,4,Lyon
TX-00000156,USR-77586,Électronique,1050.02,1,Bordeaux
TX-00000157,USR-95461,Mode,1077.07,3,Paris
TX-00000158,USR-68061,Sports,585.23,3,Lyon
TX-00000159,USR-80150,Maison,119.19,4,Marseille
TX-00000160,USR-80596,Maison,384.46,4,Nantes
TX-00000161,USR-81014,Sports,956.76,4,Lille
TX-00000162,USR-29027,Mode,29.82,4,Lyon
TX-00000163,USR-75336,Sports,1119.79,2,Nantes
TX-00000164,USR-90534,Mode,879.84,5,Lille
TX-00000165,USR-13404,Mode,712.57,1,Toulouse
TX-00000166,USR-86051,Électronique,5.16,5,Paris
TX-00000167,USR-68285,Électronique,126.76,1,Lille
TX-00000168,USR-41128,Alimentation,254.94,1,Lille
TX-00000169,USR-14891,Mode,1140.25,2,Marseille
TX-00000170,USR-30826,Maison,592.48,1,Lille
TX-00000171,USR-49241,Électronique,402.27,2,Nantes
TX-00000172,USR-23000,Sports,830.73,1,Lille
TX-00000173,USR-84492,Maison,222.55,1,Nantes
TX-00000174,USR-63451,Alimentation,262.67,1,Nantes
TX-00000175,USR-12529,Maison,1146.57,5,Lille
TX-00000176,USR-47768,Électronique,1006.05,5,Nantes
TX-00000177,USR-61650,Maison,933.23,2,Bordeaux
TX-00000178,USR-60054,Mode,340.54,5,Toulouse
TX-00000179,USR-75066,Maison,551.85,5,Paris
TX-00000180,USR-96605,Mode,1022.83,5,Toulouse
TX-00000181,USR-23163,Maison,217.91,4,Bordeaux
TX-00000182,USR-63254,Alimentation,740.14,5,Lyon
TX-00000183,USR-90173,Électronique,119.29,4,Toulouse
TX-00000184,USR-13535,Alimentation,405.46,5,Marseille
TX-00000185,USR-92190,Alimentation,594.88,3,Lyon
TX-00000186,USR-10423,Maison,289.14,2,Nantes
TX-00000187,USR-97752,Maison,561.38,4,Lyon
TX-00000188,USR-81805,Électronique,1104.34,4,Toulouse
TX-00000189,USR-23052,Mode,662.98,2,Paris
TX-00000190,USR-13809,Sports,878.27,4,Marseille
TX-00000191,USR-96568,Mode,715.38,3,Lyon
TX-00000192,USR-57431,Sports,860.7,2,Paris
TX-00000193,USR-39274,Maison,572.8,4,Toulouse
TX-00000194,USR-37308,Alimentation,982.6,4,Marseille
TX-00000195,USR-90152,Sports,436.22,2,Lille
TX-00000196,USR-84676,Mode,1009.62,5,Paris
TX-00000197,USR-43401,Alimentation,25.02,3,Bordeaux
TX-00000198,USR-88963,Maison,356.89,3,Lyon
TX-00000199,USR-58616,Mode,1082.93,4,Lyon
TX-00000200,USR-54604,Maison,293.82,5,Lyon
TX-00000201,USR-62082,Électronique,58.75,2,Paris
TX-00000202,USR-94019,Maison,362.42,1,Lyon
TX-00000203,USR-20391,Alimentation,884.74,3,Lille
TX-00000204,USR-58020,Mode,312.41,4,Bordeaux
TX-00000205,USR-52698,Maison,701.08,1,Lille
TX-00000206,USR-83856,Maison,245.49,5,Bordeaux
TX-00000207,USR-20650,Mode,582.21,4,Marseille
TX-00000208,USR-25749,Alimentation,128.23,1,Toulouse
TX-00000209,USR-73127,Électronique,615.58,2,Marseille
TX-00000210,USR-19682,Maison,372.13,5,Paris
TX-00000211,USR-49611,Électronique,383.09,4,Bordeaux
TX-00000212,USR-66210,Maison,582.75,2,Marseille
TX-00000213,USR-29095,Sports,546.14,4,Paris
TX-00000214,USR-45776,Mode,261.23,3,Toulouse
TX-00000215,USR-63468,Mode,1030.41,3,Paris
TX-00000216,USR-85271,Sports,788.87,2,Bordeaux
TX-00000217,USR-69994,Maison,1038.22,5,Bordeaux
TX-00000218,USR-14278,Sports,512.33,1,Lille
TX-00000219,USR-74401,Sports,383.61,1,Nantes
TX-00000220,USR-50979,Mode,393.13,5,Lille
TX-00000221,USR-21447,Électronique,286.21,3,Lyon
TX-00000222,USR-72932,Alimentation,503.67,1,Lyon
TX-00000223,USR-38729,Sports,414.43,4,Bordeaux
TX-00000224,USR-69009,Sports,850.6,4,Toulouse
TX-00000225,USR-34563,Mode,536.57,4,Bordeaux
TX-00000226,USR-96632,Maison,1167.77,4,Nantes
TX-00000227,USR-14675,Maison,178.5,4,Nantes
TX-00000228,USR-53629,Alimentation,482.27,2,Paris
TX-00000229,USR-44197,Alimentation,960.42,2,Lille
TX-00000230,USR-54237,Alimentation,1077.71,4,Marseille
TX-00000231,USR-56750,Alimentation,243.04,3,Nantes
TX-00000232,USR-36306,Électronique,611.59,4,Lyon
TX-00000233,USR-71723,Électronique,299.61,4,Toulouse
TX-00000234,USR-65669,Maison,1027.64,3,Nantes
TX-00000235,USR-31871,Électronique,606.78,2,Lyon
TX-00000236,USR-48140,Sports,639.68,1,Toulouse
TX-00000237,USR-28480,Alimentation,490.79,1,Marseille
TX-00000238,USR-89176,Sports,1166.93,5,Paris
TX-00000239,USR-59032,Mode,264.63,1,Lille
TX-00000240,USR-27969,Maison,874.38,1,Nantes
TX-00000241,USR-60550,Alimentation,779.94,4,Paris
TX-00000242,USR-16777,Maison,598.22,3,Nantes
TX-00000243,USR-69412,Électronique,773.28,1,Paris
TX-00000244,USR-87630,Sports,1165.95,4,Bordeaux
TX-00000245,USR-77699,Électronique,46.22,2,Lille
TX-00000246,USR-32673,Mode,287.57,5,Lille
TX-00000247,USR-71034,Alimentation,179.33,2,Nantes
TX-00000248,USR-59779,Sports,216.7,1,Lyon
TX-00000249,USR-74130,Sports,838.63,1,Marseille
TX-00000250,USR-80860,Mode,958.73,5,Lille
TX-00000251,USR-79829,Maison,356.98,2,Lille
TX-00000252,USR-53770,Électronique,983.29,3,Nantes
TX-00000253,USR-96689,Sports,1168.59,5,Nantes
TX-00000254,USR-20482,Électronique,810.24,3,Marseille
TX-00000255,USR-66298,Mode,76.82,4,Lille
TX-00000256,USR-43082,Alimentation,918.78,1,Marseille
TX-00000257,USR-51039,Électronique,992.01,2,Marseille
TX-00000258,USR-82229,Maison,243.33,3,Nantes
TX-00000259,USR-76030,Mode,233.38,5,Paris
TX-00000260,USR-81181,Électronique,219.95,4,Nantes
TX-00000261,USR-10981,Maison,1158.66,3,Marseille
TX-00000262,USR-46196,Sports,293.19,5,Nantes
TX-00000263,USR-15183,Électronique,68.36,3,Paris
TX-00000264,USR-15381,Électronique,98.3,4,Lyon
TX-00000265,USR-56833,Électronique,652.44,4,Lille
TX-00000266,USR-96609,Mode,160.38,2,Lille
TX-00000267,USR-92079,Maison,355.65,5,Nantes
TX-00000268,USR-12260,Mode,161.13,1,Toulouse
TX-00000269,USR-51586,Alimentation,760.25,2,Nantes
TX-00000270,USR-73330,Électronique,640.53,3,Lille
TX-00000271,USR-91539,Mode,872.68,2,Paris
TX-00000272,USR-59351,Mode,850.48,5,Lille
TX-00000273,USR-50384,Maison,522.38,1,Toulouse
TX-00000274,USR-24999,Maison,422.39,2,Nantes
TX-00000275,USR-76461,Électronique,958.61,4,Marseille
TX-00000276,USR-29989,Sports,343.37,3,Nantes
TX-00000277,USR-10337,Alimentation,1110.04,1,Lyon
TX-00000278,USR-26991,Sports,75.87,1,Paris
TX-00000279,USR-89411,Maison,312.31,2,Lyon
TX-00000280,USR-68268,Maison,589.07,2,Lille
TX-00000281,USR-77039,Mode,802.67,4,Marseille
TX-00000282,USR-50510,Maison,283.3,4,Toulouse
TX-00000283,USR-15103,Sports,605.99,4,Marseille
TX-00000284,USR-37691,Sports,421.9,4,Lille
TX-00000285,USR-55030,Alimentation,241.44,4,Toulouse
TX-00000286,USR-11585,Alimentation,350.08,2,Toulouse
TX-00000287,USR-83704,Mode,951.92,3,Nantes
TX-00000288,USR-35662,Alimentation,1065.58,5,Toulouse
TX-00000289,USR-53240,Maison,489.04,2,Paris
TX-00000290,USR-70311,Sports,419.37,2,Bordeaux
TX-00000291,USR-78081,Électronique,434.31,2,Nantes
TX-00000292,USR-60114,Alimentation,1090.15,2,Nantes
TX-00000293,USR-31519,Sports,39.67,4,Bordeaux
TX-00000294,USR-70095,Sports,962.09,1,Marseille
TX-00000295,USR-39978,Alimentation,990.21,5,Paris
TX-00000296,USR-86222,Alimentation,700.9,5,Bordeaux
TX-00000297,USR-18930,Sports,161.76,4,Nantes
TX-00000298,USR-77078,Sports,729.95,3,Marseille
TX-00000299,USR-67012,Maison,933.62,3,Lille
TX-00000300,USR-13730,Maison,274.27,3,Lyon
TX-00000301,USR-89092,Électronique,759.68,1,Paris
TX-00000302,USR-20713,Alimentation,342.12,3,Lyon
TX-00000303,USR-92626,Maison,582.82,2,Paris
TX-00000304,USR-28391,Alimentation,667.11,3,Nantes
TX-00000305,USR-41827,Électronique,669.75,4,Lille
TX-00000306,USR-66028,Maison,478.92,1,Bordeaux
TX-00000307,USR-65929,Mode,369.5,1,Paris
TX-00000308,USR-22995,Alimentation,638.67,3,Toulouse
TX-00000309,USR-67965,Électronique,1126.74,1,Lille
TX-00000310,USR-97748,Alimentation,1092.9,5,Bordeaux
TX-00000311,USR-10482,Mode,718.17,2,Nantes
TX-00000312,USR-83675,Électronique,669.88,2,Marseille
TX-00000313,USR-10773,Mode,230.63,5,Toulouse
TX-00000314,USR-52977,Maison,339.25,1,Nantes
TX-00000315,USR-16562,Mode,791.65,4,Lyon
TX-00000316,USR-49674,Maison,842.35,3,Bordeaux
TX-00000317,USR-69191,Électronique,613.3,3,Paris
TX-00000318,USR-35073,Maison,997.65,4,Lyon
TX-00000319,USR-35894,Électronique,841.32,4,Toulouse
TX-00000320,USR-14883,Mode,1151.37,1,Marseille
TX-00000321,USR-51104,Maison,1180.61,5,Lyon
TX-00000322,USR-14831,Alimentation,22.93,5,Lyon
TX-00000323,USR-39011,Alimentation,410.78,3,Nantes
TX-00000324,USR-36334,Mode,1143.19,3,Lille
TX-00000325,USR-57757,Mode,780.2,4,Bordeaux
TX-00000326,USR-11271,Maison,193.54,5,Lyon
TX-00000327,USR-69459,Alimentation,1045.1,3,Paris
TX-00000328,USR-62409,Mode,17.4,3,Bordeaux
TX-00000329,USR-98393,Alimentation,737.03,2,Nantes
TX-00000330,USR-51905,Mode,490.59,1,Lille
TX-00000331,USR-92273,Électronique,589.71,5,Lyon
TX-00000332,USR-71568,Maison,289.17,4,Toulouse
TX-00000333,USR-53806,Maison,287.19,5,Paris
TX-00000334,USR-20692,Électronique,218.38,1,Nantes
TX-00000335,USR-47823,Électronique,532.32,4,Nantes
TX-00000336,USR-12012,Sports,491.55,5,Marseille
TX-00000337,USR-76837,Sports,220.8,5,Marseille
TX-00000338,USR-63321,Mode,422.59,1,Lyon
TX-00000339,USR-64482,Mode,66.1,3,Lyon
TX-00000340,USR-54651,Sports,915.79,1,Bordeaux
TX-00000341,USR-81102,Maison,804.0,1,Paris
TX-00000342,USR-35205,Électronique,1118.56,4,Marseille
TX-00000343,USR-81653,Maison,418.52,1,Paris
TX-00000344,USR-91687,Sports,830.34,2,Lyon
TX-00000345,USR-43691,Sports,1160.41,4,Lille
TX-00000346,USR-74428,Sports,680.65,1,Nantes
TX-00000347,USR-39009,Électronique,1018.09,1,Lyon
TX-00000348,USR-38194,Alimentation,29.15,2,Paris
TX-00000349,USR-90852,Électronique,483.92,2,Paris
TX-00000350,USR-91051,Maison,1169.11,5,Lille
TX-00000351,USR-84861,Mode,504.97,4,Bordeaux
TX-00000352,USR-23007,Alimentation,813.14,5,Nantes
TX-00000353,USR-47144,Alimentation,412.67,2,Toulouse
TX-00000354,USR-73528,Alimentation,822.87,2,Bordeaux
TX-00000355,USR-10223,Mode,245.11,4,Lille
TX-00000356,USR-90161,Alimentation,1157.87,1,Marseille
TX-00000357,USR-99468,Sports,231.7,1,Lyon
TX-00000358,USR-67317,Alimentation,566.15,5,Paris
TX-00000359,USR-67606,Mode,637.07,1,Bordeaux
TX-00000360,USR-87980,Électronique,30.45,3,Lille
TX-00000361,USR-12843,Alimentation,792.38,2,Toulouse
TX-00000362,USR-38228,Maison,356.57,1,Paris
TX-00000363,USR-41811,Sports,15.53,1,Paris
TX-00000364,USR-23313,Mode,277.1,3,Paris
TX-00000365,USR-21851,Électronique,916.25,3,Marseille
TX-00000366,USR-32110,Électronique,1064.87,2,Lyon
TX-00000367,USR-23598,Sports,798.78,4,Nantes
TX-00000368,USR-64728,Alimentation,577.2,5,Lyon
TX-00000369,USR-15797,Sports,1085.11,4,Lyon
TX-00000370,USR-83520,Maison,532.08,4,Nantes
TX-00000371,USR-26472,Mode,361.84,4,Bordeaux
TX-00000372,USR-85255,Maison,108.69,2,Bordeaux
TX-00000373,USR-36876,Sports,762.16,4,Marseille
TX-00000374,USR-89426,Mode,1092.19,4,Bordeaux
TX-00000375,USR-65727,Mode,215.99,5,Marseille
TX-00000376,USR-42781,Sports,898.9,1,Nantes
TX-00000377,USR-63807,Sports,337.17,4,Toulouse
TX-00000378,USR-61321,Maison,1124.29,4,Bordeaux
TX-00000379,USR-74165,Alimentation,1092.84,4,Paris
TX-00000380,USR-28123,Maison,480.1,5,Lille
TX-00000381,USR-58210,Alimentation,1063.7,1,Paris
TX-00000382,USR-86073,Sports,698.74,3,Lille
TX-00000383,USR-45360,Mode,713.29,5,Marseille
TX-00000384,USR-78667,Mode,42.41,3,Bordeaux
TX-00000385,USR-62224,Maison,531.32,5,Lille
TX-00000386,USR-97409,Maison,299.24,4,Paris
TX-00000387,USR-98280,Électronique,859.98,1,Toulouse
TX-00000388,USR-33265,Mode,89.62,3,Bordeaux
TX-00000389,USR-39636,Maison,769.16,5,Nantes
TX-00000390,USR-19265,Mode,140.71,4,Paris
TX-00000391,USR-41509,Maison,1024.26,1,Nantes
TX-00000392,USR-53839,Alimentation,1119.43,5,Marseille
TX-00000393,USR-31431,Mode,673.38,1,Lyon
TX-00000394,USR-71295,Sports,528.76,3,Paris
TX-00000395,USR-20165,Sports,477.61,2,Paris
TX-00000396,USR-49109,Alimentation,71.72,2,Lille
TX-00000397,USR-20165,Mode,774.96,2,Toulouse
TX-00000398,USR-54400,Maison,288.32,3,Marseille
TX-00000399,USR-18932,Mode,246.74,5,Marseille
TX-00000400,USR-84345,Mode,218.9,3,Lyon
TX-00000401,USR-91843,Électronique,1153.68,1,Marseille
TX-00000402,USR-38947,Électronique,173.86,3,Paris
TX-00000403,USR-71526,Sports,1052.36,2,Toulouse
TX-00000404,USR-13908,Alimentation,722.6,2,Toulouse
TX-00000405,USR-84535,Mode,568.79,1,Lyon
TX-00000406,USR-88559,Maison,369.7,4,Paris
TX-00000407,USR-32522,Électronique,1122.89,1,Bordeaux
TX-00000408,USR-48793,Sports,45.56,4,Paris
TX-00000409,USR-83136,Sports,669.28,1,Paris
TX-00000410,USR-78591,Électronique,448.49,2,Lyon
TX-00000411,USR-34142,Mode,1097.32,2,Nantes
TX-00000412,USR-31193,Sports,447.24,5,Paris
TX-00000413,USR-83416,Mode,258.67,2,Paris
TX-00000414,USR-38886,Alimentation,818.73,2,Toulouse
TX-00000415,USR-89572,Mode,1041.76,2,Marseille
TX-00000416,USR-52174,Mode,1046.15,5,Paris
TX-00000417,USR-71726,Électronique,102.9,2,Paris
TX-00000418,USR-41055,Électronique,613.29,2,Paris
TX-00000419,USR-30026,Alimentation,816.78,4,Marseille
TX-00000420,USR-25694,Électronique,448.21,1,Bordeaux
TX-00000421,USR-14246,Sports,536.62,1,Marseille
TX-00000422,USR-33060,Sports,766.21,5,Paris
TX-00000423,USR-72927,Électronique,311.25,1,Paris
TX-00000424,USR-85866,Mode,91.74,5,Bordeaux
TX-00000425,USR-46878,Sports,39.33,2,Toulouse
TX-00000426,USR-36614,Maison,501.75,5,Marseille
TX-00000427,USR-44486,Sports,350.02,3,Toulouse
TX-00000428,USR-55812,Sports,1052.34,4,Toulouse
TX-00000429,USR-90458,Sports,1002.83,3,Lille
TX-00000430,USR-47165,Alimentation,565.79,1,Toulouse
TX-00000431,USR-52130,Mode,426.4,1,Lyon
TX-00000432,USR-30252,Mode,24.68,5,Toulouse
TX-00000433,USR-67212,Mode,922.8,2,Lyon
TX-00000434,USR-33485,Maison,906.62,2,Bordeaux
TX-00000435,USR-12809,Maison,432.91,5,Nantes
TX-00000436,USR-11064,Sports,1146.93,5,Marseille
TX-00000437,USR-77601,Maison,1109.8,5,Nantes
TX-00000438,USR-57343,Électronique,984.56,1,Paris
TX-00000439,USR-53496,Maison,576.03,5,Paris
TX-00000440,USR-34923,Électronique,372.97,4,Paris
TX-00000441,USR-22752,Mode,443.49,2,Lille
TX-00000442,USR-29192,Sports,916.48,3,Paris
TX-00000443,USR-45697,Maison,310.93,1,Marseille
TX-00000444,USR-54331,Électronique,152.15,2,Marseille
TX-00000445,USR-64566,Mode,170.26,4,Toulouse
TX-00000446,USR-19942,Sports,913.14,2,Paris
TX-00000447,USR-51738,Sports,799.05,5,Lyon
TX-00000448,USR-59993,Maison,642.7,1,Lille
TX-00000449,USR-91026,Électronique,982.87,4,Lille
TX-00000450,USR-98033,Sports,219.11,4,Paris
TX-00000451,USR-44419,Maison,611.76,5,Marseille
TX-00000452,USR-46453,Mode,163.08,2,Marseille
TX-00000453,USR-76688,Mode,861.79,1,Paris
TX-00000454,USR-18609,Alimentation,232.19,1,Toulouse
TX-00000455,USR-94562,Mode,843.19,1,Bordeaux
TX-00000456,USR-14730,Maison,427.47,3,Marseille
TX-00000457,USR-22263,Sports,603.18,4,Lyon
TX-00000458,USR-69677,Alimentation,1016.81,5,Lille
TX-00000459,USR-16766,Électronique,144.45,4,Lille
TX-00000460,USR-23668,Mode,640.14,2,Toulouse
TX-00000461,USR-13791,Sports,1158.15,3,Marseille
TX-00000462,USR-11197,Maison,113.38,5,Marseille
TX-00000463,USR-22361,Alimentation,967.79,1,Lyon
TX-00000464,USR-14493,Maison,820.28,4,Bordeaux
TX-00000465,USR-17749,Maison,563.66,4,Nantes
TX-00000466,USR-92592,Sports,723.0,2,Marseille
TX-00000467,USR-61719,Alimentation,506.03,5,Lyon
TX-00000468,USR-11300,Alimentation,1072.11,1,Lille
TX-00000469,USR-78372,Alimentation,233.14,2,Marseille
TX-00000470,USR-86079,Électronique,729.98,4,Toulouse
TX-00000471,USR-27922,Mode,570.95,3,Marseille
TX-00000472,USR-39253,Mode,461.2,5,Bordeaux
TX-00000473,USR-75714,Mode,21.45,2,Marseille
TX-00000474,USR-46145,Maison,692.74,3,Marseille
TX-00000475,USR-41521,Électronique,636.53,4,Marseille
TX-00000476,USR-35790,Électronique,279.47,1,Toulouse
TX-00000477,USR-23571,Électronique,1036.27,3,Nantes
TX-00000478,USR-18796,Électronique,1087.84,4,Lyon
TX-00000479,USR-94076,Mode,979.07,3,Marseille
TX-00000480,USR-56053,Électronique,227.61,3,Lille
TX-00000481,USR-93120,Électronique,282.45,2,Toulouse
TX-00000482,USR-73227,Alimentation,821.73,3,Lyon
TX-00000483,USR-18204,Sports,1091.48,2,Marseille
TX-00000484,USR-54302,Électronique,371.5,5,Lyon
